Reaction Type,Category,,,Reaction Type,Animals,Science,Healthy Eating,Technology,Food
indifferent,fitness,,,,,,,,
cherish,fitness,,,,,,,,
hate,fitness,,,,,,,,
disgust,fitness,,,,,,,,
hate,fitness,,,,,,,,
heart,fitness,,,,,,,,
hate,fitness,,,,,,,,
intrigued,fitness,,,,,,,,
want,fitness,,,,,,,,
cherish,fitness,,,,,,,,
cherish,education,,,,,,,,
heart,education,,,,,,,,
interested,education,,,,,,,,
like,education,,,,,,,,
worried,education,,,,,,,,
super love,education,,,,,,,,
cherish,education,,,,,,,,
interested,education,,,,,,,,
indifferent,education,,,,,,,,
worried,education,,,,,,,,
super love,education,,,,,,,,
dislike,education,,,,,,,,
heart,education,,,,,,,,
intrigued,education,,,,,,,,
adore,education,,,,,,,,
adore,education,,,,,,,,
peeking,education,,,,,,,,
interested,education,,,,,,,,
scared,education,,,,,,,,
hate,education,,,,,,,,
like,education,,,,,,,,
scared,education,,,,,,,,
cherish,education,,,,,,,,
love,education,,,,,,,,
hate,education,,,,,,,,
scared,education,,,,,,,,
super love,education,,,,,,,,
intrigued,education,,,,,,,,
disgust,public speaking,,,,,,,,
worried,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
cherish,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
worried,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
like,public speaking,,,,,,,,
love,public speaking,,,,,,,,
peeking,public speaking,,,,,,,,
want,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
indifferent,public speaking,,,,,,,,
want,public speaking,,,,,,,,
worried,cooking,,,,,,,,
want,cooking,,,,,,,,
indifferent,cooking,,,,,,,,
adore,cooking,,,,,,,,
scared,cooking,,,,,,,,
want,cooking,,,,,,,,
indifferent,cooking,,,,,,,,
interested,cooking,,,,,,,,
scared,cooking,,,,,,,,
scared,cooking,,,,,,,,
love,cooking,,,,,,,,
disgust,cooking,,,,,,,,
super love,cooking,,,,,,,,
love,cooking,,,,,,,,
super love,cooking,,,,,,,,
peeking,cooking,,,,,,,,
like,cooking,,,,,,,,
super love,cooking,,,,,,,,
like,cooking,,,,,,,,
dislike,cooking,,,,,,,,
hate,cooking,,,,,,,,
dislike,cooking,,,,,,,,
interested,cooking,,,,,,,,
indifferent,cooking,,,,,,,,
peeking,cooking,,,,,,,,
super love,cooking,,,,,,,,
super love,cooking,,,,,,,,
hate,cooking,,,,,,,,
indifferent,cooking,,,,,,,,
super love,cooking,,,,,,,,
heart,cooking,,,,,,,,
love,cooking,,,,,,,,
like,cooking,,,,,,,,
indifferent,cooking,,,,,,,,
scared,cooking,,,,,,,,
like,cooking,,,,,,,,
like,cooking,,,,,,,,
disgust,cooking,,,,,,,,
want,cooking,,,,,,,,
dislike,cooking,,,,,,,,
intrigued,cooking,,,,,,,,
scared,cooking,,,,,,,,
heart,cooking,,,,,,,,
adore,cooking,,,,,,,,
like,cooking,,,,,,,,
scared,soccer,,,,,,,,
peeking,soccer,,,,,,,,
heart,soccer,,,,,,,,
love,soccer,,,,,,,,
super love,soccer,,,,,,,,
peeking,soccer,,,,,,,,
like,food,,,,,,,,
peeking,food,,,,,,,,
worried,food,,,,,,,,
want,food,,,,,,,,
heart,animals,,,,,,,,
intrigued,animals,,,,,,,,
worried,animals,,,,,,,,
adore,animals,,,,,,,,
peeking,animals,,,,,,,,
heart,animals,,,,,,,,
cherish,animals,,,,,,,,
heart,animals,,,,,,,,
heart,animals,,,,,,,,
super love,animals,,,,,,,,
hate,animals,,,,,,,,
dislike,animals,,,,,,,,
super love,animals,,,,,,,,
hate,animals,,,,,,,,
hate,animals,,,,,,,,
want,animals,,,,,,,,
scared,animals,,,,,,,,
intrigued,animals,,,,,,,,
like,animals,,,,,,,,
disgust,animals,,,,,,,,
love,animals,,,,,,,,
super love,animals,,,,,,,,
love,animals,,,,,,,,
disgust,animals,,,,,,,,
love,animals,,,,,,,,
intrigued,animals,,,,,,,,
heart,animals,,,,,,,,
interested,animals,,,,,,,,
cherish,animals,,,,,,,,
indifferent,animals,,,,,,,,
want,animals,,,,,,,,
indifferent,animals,,,,,,,,
disgust,animals,,,,,,,,
like,animals,,,,,,,,
cherish,dogs,,,,,,,,
heart,dogs,,,,,,,,
indifferent,dogs,,,,,,,,
peeking,education,,,,,,,,
cherish,education,,,,,,,,
super love,education,,,,,,,,
interested,education,,,,,,,,
heart,education,,,,,,,,
peeking,education,,,,,,,,
peeking,education,,,,,,,,
dislike,education,,,,,,,,
love,education,,,,,,,,
cherish,education,,,,,,,,
cherish,education,,,,,,,,
heart,education,,,,,,,,
cherish,education,,,,,,,,
super love,education,,,,,,,,
adore,education,,,,,,,,
peeking,education,,,,,,,,
love,education,,,,,,,,
like,education,,,,,,,,
love,education,,,,,,,,
want,education,,,,,,,,
dislike,education,,,,,,,,
dislike,education,,,,,,,,
disgust,education,,,,,,,,
heart,education,,,,,,,,
heart,education,,,,,,,,
love,education,,,,,,,,
interested,education,,,,,,,,
adore,education,,,,,,,,
worried,education,,,,,,,,
indifferent,education,,,,,,,,
love,education,,,,,,,,
heart,education,,,,,,,,
worried,education,,,,,,,,
adore,education,,,,,,,,
super love,fitness,,,,,,,,
super love,fitness,,,,,,,,
super love,fitness,,,,,,,,
like,fitness,,,,,,,,
like,fitness,,,,,,,,
super love,fitness,,,,,,,,
heart,fitness,,,,,,,,
peeking,fitness,,,,,,,,
love,fitness,,,,,,,,
indifferent,fitness,,,,,,,,
interested,fitness,,,,,,,,
heart,fitness,,,,,,,,
worried,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
interested,culture,,,,,,,,
peeking,culture,,,,,,,,
interested,culture,,,,,,,,
dislike,culture,,,,,,,,
heart,culture,,,,,,,,
dislike,culture,,,,,,,,
dislike,culture,,,,,,,,
adore,culture,,,,,,,,
hate,culture,,,,,,,,
like,culture,,,,,,,,
like,culture,,,,,,,,
worried,culture,,,,,,,,
scared,culture,,,,,,,,
interested,culture,,,,,,,,
worried,culture,,,,,,,,
adore,culture,,,,,,,,
love,culture,,,,,,,,
like,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
dislike,travel,,,,,,,,
like,travel,,,,,,,,
like,travel,,,,,,,,
want,travel,,,,,,,,
love,travel,,,,,,,,
dislike,travel,,,,,,,,
hate,travel,,,,,,,,
disgust,fitness,,,,,,,,
adore,fitness,,,,,,,,
dislike,fitness,,,,,,,,
worried,fitness,,,,,,,,
dislike,fitness,,,,,,,,
super love,fitness,,,,,,,,
interested,fitness,,,,,,,,
scared,fitness,,,,,,,,
hate,fitness,,,,,,,,
adore,fitness,,,,,,,,
heart,fitness,,,,,,,,
like,fitness,,,,,,,,
scared,fitness,,,,,,,,
super love,fitness,,,,,,,,
adore,fitness,,,,,,,,
scared,fitness,,,,,,,,
indifferent,fitness,,,,,,,,
super love,fitness,,,,,,,,
indifferent,fitness,,,,,,,,
dislike,fitness,,,,,,,,
dislike,fitness,,,,,,,,
adore,fitness,,,,,,,,
adore,fitness,,,,,,,,
peeking,fitness,,,,,,,,
dislike,fitness,,,,,,,,
peeking,fitness,,,,,,,,
worried,fitness,,,,,,,,
love,fitness,,,,,,,,
adore,fitness,,,,,,,,
super love,fitness,,,,,,,,
cherish,studying,,,,,,,,
hate,studying,,,,,,,,
heart,studying,,,,,,,,
love,studying,,,,,,,,
disgust,studying,,,,,,,,
want,studying,,,,,,,,
super love,studying,,,,,,,,
peeking,studying,,,,,,,,
want,studying,,,,,,,,
love,studying,,,,,,,,
adore,studying,,,,,,,,
disgust,studying,,,,,,,,
dislike,studying,,,,,,,,
want,studying,,,,,,,,
heart,studying,,,,,,,,
cherish,studying,,,,,,,,
disgust,studying,,,,,,,,
super love,studying,,,,,,,,
worried,studying,,,,,,,,
cherish,studying,,,,,,,,
hate,studying,,,,,,,,
intrigued,studying,,,,,,,,
love,studying,,,,,,,,
want,studying,,,,,,,,
like,studying,,,,,,,,
like,studying,,,,,,,,
worried,studying,,,,,,,,
love,studying,,,,,,,,
want,studying,,,,,,,,
hate,studying,,,,,,,,
love,studying,,,,,,,,
interested,studying,,,,,,,,
like,studying,,,,,,,,
hate,studying,,,,,,,,
worried,studying,,,,,,,,
super love,studying,,,,,,,,
peeking,studying,,,,,,,,
indifferent,studying,,,,,,,,
intrigued,studying,,,,,,,,
scared,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
indifferent,fitness,,,,,,,,
love,fitness,,,,,,,,
dislike,fitness,,,,,,,,
scared,fitness,,,,,,,,
scared,fitness,,,,,,,,
love,fitness,,,,,,,,
scared,fitness,,,,,,,,
dislike,fitness,,,,,,,,
super love,fitness,,,,,,,,
dislike,fitness,,,,,,,,
dislike,fitness,,,,,,,,
adore,fitness,,,,,,,,
indifferent,fitness,,,,,,,,
scared,fitness,,,,,,,,
heart,fitness,,,,,,,,
hate,fitness,,,,,,,,
like,fitness,,,,,,,,
adore,fitness,,,,,,,,
worried,fitness,,,,,,,,
peeking,fitness,,,,,,,,
love,fitness,,,,,,,,
worried,fitness,,,,,,,,
heart,fitness,,,,,,,,
hate,fitness,,,,,,,,
worried,fitness,,,,,,,,
interested,fitness,,,,,,,,
love,fitness,,,,,,,,
super love,fitness,,,,,,,,
super love,fitness,,,,,,,,
dislike,fitness,,,,,,,,
adore,fitness,,,,,,,,
cherish,fitness,,,,,,,,
love,fitness,,,,,,,,
dislike,fitness,,,,,,,,
dislike,fitness,,,,,,,,
disgust,fitness,,,,,,,,
want,fitness,,,,,,,,
cherish,fitness,,,,,,,,
dislike,fitness,,,,,,,,
super love,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
like,veganism,,,,,,,,
cherish,veganism,,,,,,,,
worried,veganism,,,,,,,,
want,veganism,,,,,,,,
super love,veganism,,,,,,,,
scared,veganism,,,,,,,,
cherish,veganism,,,,,,,,
intrigued,veganism,,,,,,,,
disgust,veganism,,,,,,,,
disgust,veganism,,,,,,,,
like,veganism,,,,,,,,
love,veganism,,,,,,,,
heart,veganism,,,,,,,,
interested,veganism,,,,,,,,
love,veganism,,,,,,,,
peeking,veganism,,,,,,,,
dislike,veganism,,,,,,,,
adore,veganism,,,,,,,,
super love,veganism,,,,,,,,
cherish,veganism,,,,,,,,
heart,veganism,,,,,,,,
peeking,cooking,,,,,,,,
disgust,fitness,,,,,,,,
love,fitness,,,,,,,,
like,fitness,,,,,,,,
dislike,fitness,,,,,,,,
scared,fitness,,,,,,,,
peeking,fitness,,,,,,,,
super love,fitness,,,,,,,,
peeking,fitness,,,,,,,,
interested,fitness,,,,,,,,
hate,fitness,,,,,,,,
intrigued,fitness,,,,,,,,
cherish,fitness,,,,,,,,
scared,fitness,,,,,,,,
dislike,fitness,,,,,,,,
intrigued,fitness,,,,,,,,
dislike,fitness,,,,,,,,
heart,fitness,,,,,,,,
want,fitness,,,,,,,,
scared,fitness,,,,,,,,
peeking,fitness,,,,,,,,
heart,fitness,,,,,,,,
adore,fitness,,,,,,,,
disgust,fitness,,,,,,,,
heart,fitness,,,,,,,,
hate,fitness,,,,,,,,
peeking,veganism,,,,,,,,
heart,veganism,,,,,,,,
cherish,veganism,,,,,,,,
super love,veganism,,,,,,,,
peeking,veganism,,,,,,,,
heart,veganism,,,,,,,,
indifferent,veganism,,,,,,,,
adore,veganism,,,,,,,,
want,veganism,,,,,,,,
heart,veganism,,,,,,,,
adore,veganism,,,,,,,,
love,veganism,,,,,,,,
adore,veganism,,,,,,,,
peeking,veganism,,,,,,,,
like,veganism,,,,,,,,
love,veganism,,,,,,,,
adore,veganism,,,,,,,,
indifferent,veganism,,,,,,,,
want,veganism,,,,,,,,
dislike,veganism,,,,,,,,
intrigued,veganism,,,,,,,,
like,veganism,,,,,,,,
interested,veganism,,,,,,,,
scared,veganism,,,,,,,,
interested,culture,,,,,,,,
like,culture,,,,,,,,
intrigued,culture,,,,,,,,
want,culture,,,,,,,,
intrigued,culture,,,,,,,,
super love,culture,,,,,,,,
worried,culture,,,,,,,,
love,culture,,,,,,,,
indifferent,culture,,,,,,,,
hate,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
peeking,technology,,,,,,,,
dislike,technology,,,,,,,,
hate,technology,,,,,,,,
hate,technology,,,,,,,,
super love,technology,,,,,,,,
hate,technology,,,,,,,,
disgust,technology,,,,,,,,
adore,technology,,,,,,,,
dislike,technology,,,,,,,,
scared,technology,,,,,,,,
disgust,technology,,,,,,,,
super love,technology,,,,,,,,
hate,technology,,,,,,,,
interested,technology,,,,,,,,
peeking,technology,,,,,,,,
adore,technology,,,,,,,,
want,technology,,,,,,,,
indifferent,technology,,,,,,,,
adore,technology,,,,,,,,
like,technology,,,,,,,,
dislike,technology,,,,,,,,
disgust,technology,,,,,,,,
adore,technology,,,,,,,,
hate,technology,,,,,,,,
super love,technology,,,,,,,,
worried,technology,,,,,,,,
cherish,technology,,,,,,,,
adore,technology,,,,,,,,
love,technology,,,,,,,,
like,technology,,,,,,,,
disgust,technology,,,,,,,,
intrigued,technology,,,,,,,,
want,technology,,,,,,,,
adore,technology,,,,,,,,
hate,technology,,,,,,,,
dislike,technology,,,,,,,,
cherish,technology,,,,,,,,
disgust,technology,,,,,,,,
indifferent,technology,,,,,,,,
worried,technology,,,,,,,,
cherish,technology,,,,,,,,
peeking,technology,,,,,,,,
intrigued,technology,,,,,,,,
want,food,,,,,,,,
interested,food,,,,,,,,
worried,food,,,,,,,,
like,food,,,,,,,,
peeking,food,,,,,,,,
intrigued,food,,,,,,,,
interested,food,,,,,,,,
scared,food,,,,,,,,
like,food,,,,,,,,
like,food,,,,,,,,
scared,food,,,,,,,,
disgust,food,,,,,,,,
like,food,,,,,,,,
heart,food,,,,,,,,
like,food,,,,,,,,
want,food,,,,,,,,
interested,food,,,,,,,,
disgust,food,,,,,,,,
worried,food,,,,,,,,
indifferent,food,,,,,,,,
hate,food,,,,,,,,
super love,food,,,,,,,,
adore,food,,,,,,,,
heart,food,,,,,,,,
intrigued,food,,,,,,,,
adore,food,,,,,,,,
cherish,food,,,,,,,,
disgust,food,,,,,,,,
peeking,food,,,,,,,,
hate,food,,,,,,,,
scared,food,,,,,,,,
like,food,,,,,,,,
scared,food,,,,,,,,
want,food,,,,,,,,
worried,food,,,,,,,,
heart,food,,,,,,,,
adore,food,,,,,,,,
intrigued,food,,,,,,,,
super love,food,,,,,,,,
like,food,,,,,,,,
want,food,,,,,,,,
love,food,,,,,,,,
peeking,food,,,,,,,,
intrigued,food,,,,,,,,
disgust,food,,,,,,,,
interested,food,,,,,,,,
like,technology,,,,,,,,
interested,technology,,,,,,,,
indifferent,technology,,,,,,,,
like,technology,,,,,,,,
want,technology,,,,,,,,
dislike,technology,,,,,,,,
peeking,technology,,,,,,,,
dislike,technology,,,,,,,,
super love,technology,,,,,,,,
intrigued,technology,,,,,,,,
want,technology,,,,,,,,
worried,technology,,,,,,,,
want,technology,,,,,,,,
indifferent,technology,,,,,,,,
indifferent,technology,,,,,,,,
disgust,technology,,,,,,,,
love,technology,,,,,,,,
scared,technology,,,,,,,,
love,technology,,,,,,,,
interested,technology,,,,,,,,
peeking,technology,,,,,,,,
cherish,technology,,,,,,,,
heart,technology,,,,,,,,
cherish,technology,,,,,,,,
peeking,technology,,,,,,,,
worried,technology,,,,,,,,
indifferent,technology,,,,,,,,
dislike,technology,,,,,,,,
hate,technology,,,,,,,,
interested,travel,,,,,,,,
intrigued,travel,,,,,,,,
love,travel,,,,,,,,
want,travel,,,,,,,,
interested,travel,,,,,,,,
dislike,travel,,,,,,,,
love,travel,,,,,,,,
cherish,travel,,,,,,,,
heart,travel,,,,,,,,
peeking,travel,,,,,,,,
heart,travel,,,,,,,,
worried,travel,,,,,,,,
like,travel,,,,,,,,
hate,travel,,,,,,,,
intrigued,travel,,,,,,,,
disgust,travel,,,,,,,,
interested,education,,,,,,,,
dislike,education,,,,,,,,
intrigued,education,,,,,,,,
interested,education,,,,,,,,
worried,education,,,,,,,,
intrigued,education,,,,,,,,
scared,education,,,,,,,,
interested,education,,,,,,,,
adore,education,,,,,,,,
super love,education,,,,,,,,
like,education,,,,,,,,
hate,education,,,,,,,,
heart,education,,,,,,,,
indifferent,education,,,,,,,,
worried,education,,,,,,,,
super love,education,,,,,,,,
want,education,,,,,,,,
love,education,,,,,,,,
intrigued,education,,,,,,,,
cherish,education,,,,,,,,
indifferent,education,,,,,,,,
worried,education,,,,,,,,
peeking,education,,,,,,,,
like,Education,,,,,,,,
dislike,Education,,,,,,,,
scared,Education,,,,,,,,
peeking,Education,,,,,,,,
cherish,Education,,,,,,,,
hate,Education,,,,,,,,
adore,Education,,,,,,,,
disgust,Education,,,,,,,,
interested,Education,,,,,,,,
super love,Education,,,,,,,,
indifferent,Education,,,,,,,,
intrigued,Education,,,,,,,,
dislike,Education,,,,,,,,
intrigued,Education,,,,,,,,
intrigued,Education,,,,,,,,
indifferent,Education,,,,,,,,
like,Education,,,,,,,,
scared,Education,,,,,,,,
love,Education,,,,,,,,
interested,Education,,,,,,,,
intrigued,Education,,,,,,,,
love,Education,,,,,,,,
hate,Education,,,,,,,,
dislike,Education,,,,,,,,
worried,Education,,,,,,,,
interested,Education,,,,,,,,
like,Education,,,,,,,,
heart,Education,,,,,,,,
adore,Education,,,,,,,,
adore,Education,,,,,,,,
intrigued,Education,,,,,,,,
love,Education,,,,,,,,
hate,Education,,,,,,,,
worried,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
want,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
like,public speaking,,,,,,,,
indifferent,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
like,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
cherish,public speaking,,,,,,,,
want,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
love,public speaking,,,,,,,,
heart,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
indifferent,public speaking,,,,,,,,
indifferent,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
worried,public speaking,,,,,,,,
worried,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
peeking,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
interested,public speaking,,,,,,,,
peeking,public speaking,,,,,,,,
like,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
like,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
heart,public speaking,,,,,,,,
peeking,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
heart,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
indifferent,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
cherish,soccer,,,,,,,,
cherish,soccer,,,,,,,,
want,soccer,,,,,,,,
worried,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
hate,soccer,,,,,,,,
interested,soccer,,,,,,,,
worried,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
cherish,soccer,,,,,,,,
heart,soccer,,,,,,,,
interested,soccer,,,,,,,,
want,soccer,,,,,,,,
intrigued,soccer,,,,,,,,
super love,soccer,,,,,,,,
dislike,soccer,,,,,,,,
interested,soccer,,,,,,,,
disgust,soccer,,,,,,,,
worried,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
worried,soccer,,,,,,,,
intrigued,soccer,,,,,,,,
adore,soccer,,,,,,,,
hate,soccer,,,,,,,,
intrigued,soccer,,,,,,,,
super love,soccer,,,,,,,,
scared,soccer,,,,,,,,
dislike,soccer,,,,,,,,
like,soccer,,,,,,,,
super love,soccer,,,,,,,,
hate,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
disgust,soccer,,,,,,,,
heart,soccer,,,,,,,,
interested,soccer,,,,,,,,
super love,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
worried,soccer,,,,,,,,
intrigued,soccer,,,,,,,,
hate,soccer,,,,,,,,
like,soccer,,,,,,,,
heart,soccer,,,,,,,,
dislike,travel,,,,,,,,
love,travel,,,,,,,,
like,travel,,,,,,,,
indifferent,travel,,,,,,,,
worried,travel,,,,,,,,
peeking,travel,,,,,,,,
hate,travel,,,,,,,,
cherish,travel,,,,,,,,
cherish,travel,,,,,,,,
love,travel,,,,,,,,
peeking,travel,,,,,,,,
want,travel,,,,,,,,
adore,travel,,,,,,,,
heart,travel,,,,,,,,
want,travel,,,,,,,,
dislike,travel,,,,,,,,
peeking,travel,,,,,,,,
like,travel,,,,,,,,
heart,travel,,,,,,,,
interested,travel,,,,,,,,
want,travel,,,,,,,,
intrigued,travel,,,,,,,,
disgust,travel,,,,,,,,
super love,travel,,,,,,,,
scared,travel,,,,,,,,
worried,travel,,,,,,,,
worried,travel,,,,,,,,
like,travel,,,,,,,,
interested,travel,,,,,,,,
super love,travel,,,,,,,,
adore,travel,,,,,,,,
super love,travel,,,,,,,,
scared,travel,,,,,,,,
interested,travel,,,,,,,,
adore,travel,,,,,,,,
dislike,travel,,,,,,,,
want,travel,,,,,,,,
adore,travel,,,,,,,,
indifferent,travel,,,,,,,,
scared,travel,,,,,,,,
hate,travel,,,,,,,,
like,travel,,,,,,,,
super love,travel,,,,,,,,
scared,travel,,,,,,,,
dislike,fitness,,,,,,,,
intrigued,fitness,,,,,,,,
worried,fitness,,,,,,,,
super love,fitness,,,,,,,,
like,fitness,,,,,,,,
like,fitness,,,,,,,,
super love,fitness,,,,,,,,
dislike,fitness,,,,,,,,
want,fitness,,,,,,,,
heart,fitness,,,,,,,,
like,fitness,,,,,,,,
like,fitness,,,,,,,,
cherish,fitness,,,,,,,,
dislike,fitness,,,,,,,,
disgust,fitness,,,,,,,,
super love,fitness,,,,,,,,
love,fitness,,,,,,,,
hate,fitness,,,,,,,,
